name,sku,buy_url,image_url,description_long,price,in_stock,manufacturer,
Calista Tulip Tray,SDH2487-256,https://www.jaystrongwater.com/entertaining/calista-tulip-tray-sdh2487-256,https://www.jaystrongwater.com/img/product/SDH2487-256_1-Z.jpg?fv=1DADC9C10F111CA1E9F2DB2800D58F81-44114,A jeweled tulip - elegantly draped across the long gold-edge Calista porcelain tray. Inspired by parrot tulips - each petal is hand-painted in vibrant reds - pinks and fuchsia enamels which are highlighted with siam and ruby Swarovski crystals. Whether it holds your readers on a night stand or sits as a graceful accent on a coffee table - the Calista Tulip Tray is a charming addition to your home.,695,In Stock,Jay Strongwater,
Ashab Arabian Horse Figurine,SDH1896-280,https://www.jaystrongwater.com/masterpieces/ashab-arabian-horse-figurine-sdh1896-280,https://www.jaystrongwater.com/img/product/SDH1896-280_1-Z.jpg?fv=F3E6142856A6D73DD6A3F22175017202-70963,Caught mid-gallop on a beveled black marble base with his mane blowing in the wind and every muscle at attention - the level of detail highlights his awe-inspiring craftsmanship. The Ashab Arabian Horse Figurine is forged in pewter with 14K gold finish in Rhode Island. Translucent enamels painted in Rhode Island with hand-set Swarovski® crystals.Engraved with the number in the limited edition of 300.,6800,In Stock,Jay Strongwater,
Chinoiserie Oval Pendant,SJ9290-222,https://www.jaystrongwater.com/view-all-jewelry/chinoiserie-oval-pendant-sj9290-222,https://www.jaystrongwater.com/img/product/SJ9290-222_1-Z.jpg?fv=524C1A641ACB6501B65823A330FA3813-28584,Add endless elegance to an outfit with a Siam Chinoiserie Oval Pendant. Flora and fauna in an 18K gold finish - hand-enameled in translucent deep ruby - and hand-set with Swarovski® crystals. Handcrafted in New York and Rhode Island.,295,In Stock,Jay Strongwater,
Hartley Floral Scroll Tissue Holder,SDH8869-284,https://www.jaystrongwater.com/indigo/hartley-floral-scroll-tissue-holder-sdh8869-284,https://www.jaystrongwater.com/img/product/SDH8869-284_1-Z.jpg?fv=D7A5518DA4F667610B264DAAF5CB5405-54765,Gracious accessories to beautifully finish your home in quintessential Jay Strongwater style. The indigo-lacquered Hartley Floral Scroll Tissue Holder is crowned with a jeweled floral top in delft garden hues.,995,In Stock,Jay Strongwater,
Tessa Golden Bejeweled Tealight,SDH6584-232,https://www.jaystrongwater.com/candles-candlesticks/tessa-golden-bejeweled-tealight-sdh6584-232,https://www.jaystrongwater.com/img/product/SDH6584-232_w-Z.jpg?fv=C532E31D8928942746BA3435E07208AF-73262, Accent your decor with the exquisite details of our Tessa Bejeweled Tealight. Golden hues are embellished with vibrant - hand-enameled metal accents in golden jewel tones. ,325,In Stock,Jay Strongwater,
Mae Butterfly Teapot,SDH2508-292,https://www.jaystrongwater.com/entertaining/mae-butterfly-teapot-sdh2508-292,https://www.jaystrongwater.com/img/product/SDH2508-292_1-Z.jpg?fv=09858B3C91F3A8068BB440DE35A6C24E-33634,In the Composition collection - we set aside our enamels and crystals allowing the natural beauty of the carved metals to shine through. A dramatic 18K gold finished butterfly is perfectly perched on the lid of the Mae porcelain teapot. This stunningly engraved butterfly is casted in pewter and hand-polished by our master artisans in Rhode Island. The cream glazed porcelain with a high-fired gold edging and handle is crafted in Portugal.,795,In Stock,Jay Strongwater,
Kate Hydrangea 4in x 6in Frame,SPF5693-278,https://www.jaystrongwater.com/flora-fauna/kate-hydrangea-4-x-6-frame-spf5693-278,https://www.jaystrongwater.com/img/product/SPF5693-278_1-Z.jpg?fv=31CA2B932B9D876DC3D4A46D6D4DAB0E-165783,The Kate Hydrangea 4in x 6in Frame’s organic forms are truly enchanting. Blossoming hydrangeas - enameled in porcelain-inspired pale hues - wrap the floating frame. Captivating hydrangea petals - in carved metal with an antiqued 14K gold finish - are delicately painted and adorned with almost 300 hand-set Swarovski® crystals. Designed to be cherished along with your most precious memories.,1400,In Stock,Jay Strongwater,
Ashab Arabian Horse Figurine,SDH1896-280,https://www.jaystrongwater.com/highland/ashab-arabian-horse-figurine-sdh1896-280,https://www.jaystrongwater.com/img/product/SDH1896-280_1-Z.jpg?fv=F3E6142856A6D73DD6A3F22175017202-70963,Caught mid-gallop on a beveled black marble base with his mane blowing in the wind and every muscle at attention - the level of detail highlights his awe-inspiring craftsmanship. The Ashab Arabian Horse Figurine is forged in pewter with 14K gold finish in Rhode Island. Translucent enamels painted in Rhode Island with hand-set Swarovski® crystals.Engraved with the number in the limited edition of 300.,6800,In Stock,Jay Strongwater,
Theo Bejeweled 8in x 10in Frame,SPF5843-230,https://www.jaystrongwater.com/coastal/theo-bejeweled-8-x-10-frame-spf5843-230,https://www.jaystrongwater.com/img/product/SPF5843-230_1-Z.jpg?fv=BB6D1270FCDA374EDCF399543D0C913B-86533,Crafted of pewter with a 14K matte gold finish - the Theo Bejeweled 8in x 10in Frame is a treasure inspired by the sea. Hand-enameled and hand-set with Swarovski’s finest large - faceted crystal stones in shades of white opal - aquamarine - and light azure in New York and Rhode Island.,1400,In Stock,Jay Strongwater,
Pierce Striped 5in x 7in Frame,SPF5800-284,https://www.jaystrongwater.com/indigo/pierce-striped-5-x-7-frame-spf5800-284,https://www.jaystrongwater.com/img/product/SPF5800-284_w-Z.jpg?fv=AD7D07BC0F226905FE9536E7D1550E34-80516,Elegant light and dark blue enamels shine over this 14K-gold-finished metal frame with Swarovski® crystal edgings. Crafted in Rhode Island and New York. ,1500,In Stock,Jay Strongwater,
